# 	v  VP(v)
-320.6667 0.0012
-319.0343 0.0000
-317.4019 0.0000
-315.7695 0.0012
-314.1371 0.0037
-312.5047 0.0025
-310.8723 0.0012
-309.2399 0.0037
-307.6075 0.0111
-305.9751 0.0098
-304.3427 0.0197
-302.7103 0.0197
-301.0779 0.0197
-299.4455 0.0221
-297.8131 0.0320
-296.1807 0.0504
-294.5483 0.0480
-292.9159 0.0443
-291.2835 0.0431
-289.6511 0.0566
-288.0187 0.0504
-286.3863 0.0418
-284.7539 0.0246
-283.1215 0.0221
-281.4891 0.0221
-279.8567 0.0197
-278.2243 0.0111
-276.5919 0.0074
-274.9594 0.0098
-273.3270 0.0062
-271.6946 0.0037
-270.0622 0.0012
-268.4298 0.0000
-266.7974 0.0012
-265.1650 0.0012
